size,min,avg,max
842,379.87,394.67,416.13
843,378.46,395.59,419.45
844,378.92,397.06,419.46
845,376.37,395.95,418.85
846,379.67,396.01,417.79
847,379.66,401.53,428.79
848,382.43,397.65,430.68
849,378.38,395.58,416.48
850,382.49,397.20,414.65
851,381.28,403.07,453.33
852,384.18,401.27,421.45
853,383.11,399.38,421.98
854,386.08,402.15,421.97
855,377.15,398.14,436.43
856,379.27,397.23,419.51
857,379.84,397.79,422.35
858,377.38,398.67,422.23
859,385.98,404.49,426.00
860,382.62,400.59,448.90
861,381.66,403.10,432.37
862,380.44,400.84,448.49
863,381.39,399.39,421.46
864,379.59,399.26,433.56
865,381.02,400.08,424.17
866,378.90,398.82,417.96
867,381.29,398.19,432.80
868,385.08,402.54,423.38
869,382.65,399.51,419.55
870,377.30,399.92,429.25
871,379.69,399.55,429.82
872,384.31,399.86,419.56
873,384.53,401.39,431.99
874,383.20,400.13,437.60
875,388.90,403.83,429.58
876,390.03,408.17,436.26
877,386.75,402.07,437.50
878,381.03,400.60,423.62
879,381.28,401.25,427.57
880,382.75,401.41,429.61
881,381.25,403.36,434.98
882,382.56,405.19,426.14
883,380.87,403.24,422.29
884,383.31,402.31,425.15
885,383.69,400.99,417.62
886,385.89,402.42,419.44
887,385.68,403.43,436.18
888,393.91,411.00,431.01
889,392.35,408.32,432.15
890,388.36,405.16,435.09
891,387.61,403.55,424.64
892,393.38,405.40,432.53
893,387.34,404.67,438.43
894,388.95,405.13,421.54
895,391.96,416.96,447.88
896,391.92,411.81,442.92
897,391.11,409.27,447.70
898,397.34,416.18,440.34
899,390.02,407.14,426.16
900,388.74,405.86,423.23
901,388.51,404.52,423.67
902,384.02,404.68,426.56
903,389.29,408.19,441.18
904,388.27,406.92,443.52
905,386.96,405.37,422.59
906,387.21,404.57,427.03
907,395.59,420.18,452.27
908,391.68,409.35,431.19
909,386.20,407.97,432.27
910,390.23,411.07,452.18
911,392.02,413.36,441.38
912,389.92,406.67,433.93
913,391.67,406.18,431.25
914,386.60,407.17,433.63
915,390.66,406.92,429.30
916,392.96,407.39,429.87
917,392.47,411.16,435.64
918,392.89,406.78,450.46
919,392.00,406.49,433.83
920,392.95,406.32,427.78
921,394.39,407.31,422.07
922,393.66,407.07,420.62
923,395.51,412.40,445.10
